71864|saeedeh-padidar-rahbari|سعیده پدیدار رهبری|روانشناس|مشاور فردی|تهران|میدان ونک|5|28|حضوری,تلفنی,آنلاین
85599|mahsa-zarei|مهسا زارعی|روانشناس|مشاور فردی|تهران|جردن (بلوار نلسون ماندلا)|4.8|43|حضوری,تلفنی,آنلاین
14604|latifeh-nezami|دکتر لطیفه نظامی|روانشناس|زوج درمانگر,مشاور ازدواج|تبریز|پاستور جدید ۲|4.8|70|حضوری,تلفنی
51194|maryam-choghakhandaghi|مریم چقاخندقی|روانشناس|مشاور فردی,روانشناس بالینی|کرج|خیابان شهید بهشتی|4.9|89|حضوری,تلفنی,آنلاین
34113|seyyedehleila-moslehi|سیده لیلا مصلحی|روانشناس|زوج درمانگر|تنکابن|شهسوار|4.7|34|حضوری,تلفنی,آنلاین
95850|vida-kabiri|ویدا کبیری سامانی|روانشناس|روان درمانگر|تهران|بلوار نلسون ماندلا|5|5|حضوری
56194|rogaieh-jalilzad|رقیه جلیل زاد|روانشناس|روان درمانگر|تبریز|خیابان امام خمینی (آبرسان)|5|35|حضوری,تلفنی,آنلاین
47676|masoomeh-ganjali|معصومه گنجعلی|روانشناس|مشاور فردی|اهواز|کیانپارس|4.9|300|حضوری,تلفنی
53344|zohreh-farahani|دکتر زهره فراهانی|روانشناس|مشاور ازدواج,مشاور فردی|تهران|میدان هروی|5|12|حضوری
54870|elham-zamani3|الهام زمانی|روانشناس|روانشناس کودک|اصفهان|خیابان نظر غربی|5|19|حضوری,آنلاین
95373|fatemeh-jamali|فاطمه جمالی|روانشناس|مشاوره نوجوان,مشاور تحصیلی|اصفهان|سه راه حکیم نظامی|5|28|حضوری,تلفنی
69699|zohreh-shojaei-mahib|زهره شجاعی مهیب|روانشناس|مشاور فردی,مشاور خانواده|تهران|پیروزی|5|46|حضوری,آنلاین
34566|arezoo-ahangar|دکتر آرزو آهنگر|روانشناس|مشاور فردی|تهران|میدان انقلاب|4.9|33|حضوری,آنلاین
81555|samira-farshbafi-asadian|سمیرا فرشبافی اسعدیان|روانشناس|روان درمانگر,مشاور فردی|تبریز|بلوار ۲۹ بهمن|5|532|حضوری,تلفنی,آنلاین
58970|niloofar-banasaleh|نیلوفر بناصالح|روانشناس|روانشناس بالینی,سکس تراپیست,هیپنوتراپیست|تبریز|اول زعفرانیه|4.9|229|حضوری,تلفنی
11283|hadi-mansoobi|دکتر هادی منسوبی|روانشناس|مشاور خانواده,روان درمانگر|قم|میدان دور شهر|5|11|حضوری,تلفنی,آنلاین
10972|vahid-khodaei-majd|دکتر وحید خدایی مجد|روانشناس|مشاوره نوجوان,مشاور تحصیلی,روانشناس کودک|تبریز|بلوار آزادی|5|31|حضوری,تلفنی
70411|zhila-nosrativand-namin|ژیلا نصرتی وند نمین|روانشناس|زوج درمانگر,مشاور فردی|آستارا|خیابان مطهری|5|15|حضوری
81512|maryam-mohammadzadeh|دکتر مریم محمدزاده سلحشور|روانشناس|روانشناس کودک|مشهد|بین وکیل آباد ۷ و ۹|4.9|67|حضوری,تلفنی,آنلاین
56538|sanam-hajjabari|دکتر صنم حاج جباری|روانشناس|مشاوره نوجوان|تهران|اتوبان جلال آل احمد|4.8|33|حضوری,آنلاین
93657|fariba-sahafi|فریبا صحافی|روانشناس|روانشناس بالینی|کمال شهر|بلوار شهرداری|4.9|22|حضوری,آنلاین
75830|shohreh-fasihi|شهره فصیحی|روانشناس|روانشناس کودک|اسلامشهر|خیابان امام موسی کاظم|4.9|21|حضوری
54269|mahnaz-fazeli-kebria|دکتر مهناز فاضلی کبریا|روانشناس|مشاور خانواده,روانشناس کودک|بابل|کمربندی غربی|4.9|123|حضوری,آنلاین
83128|parinaz-valaeirad|پریناز والایی راد|روانشناس|زوج درمانگر,مشاور ازدواج|اصفهان|خیابان شریعتی|4.9|69|حضوری,آنلاین
71383|sahar-hadidehi|سحر حدیده ئی|روانشناس|زوج درمانگر,مشاور فردی|کرمانشاه|پارکینگ شهرداری|4.9|36|حضوری,تلفنی,آنلاین
93697|shiva-roozgar|شیوا روزگار|روانشناس|مشاور فردی|شیراز|زرگری|5|32|حضوری,تلفنی,آنلاین
81242|fatemeh-hoseini-jafari|فاطمه حسینی جعفری|روانشناس|زوج درمانگر,سکس تراپیست|ورامین|خیابان طالقانی|5|125|حضوری,آنلاین
65810|majid-alizadeh|دکتر مجید علیزاده|روانشناس|زوج درمانگر,مشاور ازدواج,روانشناس کودک,روان درمانگر|رودسر|خیابان انقلاب|4.9|124|حضوری,آنلاین
65232|hakimeh-kheiri|دکتر حکیمه خیری|روانشناس|مشاور فردی|رشت|گلسار|5|8|حضوری
81907|kian-nasernezhad|دکتر کیان ناصرنژاد|روانشناس|روانشناس کودک,مشاور فردی|آمل|آفتاب ۱|5|28|حضوری,آنلاین
