52601|zahra-bordan|دکتر زهرا بردن|روانشناس|مشاور ازدواج,زوج درمانگر|اسلامشهر|باغ فیض|4.8|100|حضوری,تلفنی,آنلاین
23631|zahra-shirin|دکتر زهرا شیرین|روانشناس|روان درمانگر|تهران|شهرک غرب|5|28|حضوری,آنلاین
82734|farangis-noori-bajgirani|فرنگیس نوری باجگیرانی|روانشناس|روانشناس کودک,مشاوره نوجوان|اهواز|کیانپارس|4.7|26|حضوری,تلفنی,آنلاین
67949|danial-alizadeh|دکتر دانیال علیزاده|روانشناس|روانشناس بالینی|رشت|گلسار|5|29|حضوری
65853|khatereh-shabani|خاطره شعبانی|روانشناس|روانشناس کودک,مشاوره نوجوان|رشت|چهارراه گلسار|5|37|حضوری,تلفنی,آنلاین
95440|leilasadat-mirmasoomi|لیلا سادات میرمعصومی|روانشناس|مشاوره نوجوان,روانشناس کودک|اصفهان|خیابان نظر غربی|5|31|حضوری,آنلاین
58482|neda-poorhasan-amiri|ندا پورحسن امیری|روانشناس|مشاور خانواده,روانکاو,مشاور ازدواج,روانشناس بالینی|بابل|میدان باغ فردوس|4.9|64|حضوری,آنلاین
81723|masood-karami|مسعود کرمی|روانشناس|زوج درمانگر,روانشناس بالینی|اصفهان|خیابان شمس آبادی|4.9|61|حضوری,تلفنی,آنلاین
90275|zohreh-hajizadeh1|زهره حاجی زاده|روانشناس|مشاور فردی|تهران|جاده کوهک|5|47|حضوری,آنلاین
86096|fatemeh-akbarzadeh|فاطمه اکبرزاده|روانشناس|روانشناس بالینی|تهران|جنت آباد مرکزی|5|7|حضوری,تلفنی,آنلاین
10452|maziar-jelveh|مازیار جلوه|روانشناس|روانشناس بالینی|ساری|خیابان مازیار|4.8|19|حضوری
10370|pedram-etminani|پدرام اطمینانی|روانشناس|نوروفیدبک و نوروتراپی,مشاور فردی,مشاور ازدواج|تهران|بلوار اندرزگو|4.4|20|حضوری,تلفنی,آنلاین
22264|mahrokh-boreiri|دکتر ماهرخ بریری|روانشناس|زوج درمانگر|تهران|جنت آباد مرکزی|4.8|64|حضوری,تلفنی,آنلاین
32476|elaheh-pooladsanj|دکتر الهه پولادسنج|روانشناس|زوج درمانگر,سکس تراپیست|کاشان|خیابان رجایی|5|32|حضوری,تلفنی,آنلاین
54883|soraya-gholizadeh|ثریا قلی زاده|روانشناس|مشاور فردی,زوج درمانگر,مشاور خانواده|تهران|فلکه سوم تهرانپارس|4.9|204|حضوری,تلفنی
51008|zahra-hazrati|زهرا حضرتی|روانشناس|زوج درمانگر,مشاوره توسعه‌فردی,مشاور فردی,مشاور ازدواج|اسلامشهر|زرافشان|4.9|132|حضوری,تلفنی,آنلاین
92910|boshra-sedghi-shamir|بشری صدقی شامیر|روانشناس|مشاور فردی|پرند|فاز ۳|5|15|حضوری,تلفنی,آنلاین
60221|ashkan-sharifi|اشکان شریفی|روانشناس|زوج درمانگر,مشاور ازدواج|تهران|صادقیه|4.9|83|حضوری,آنلاین
80049|elaheh-bordbar|الهه بردبار|روانشناس|مشاور فردی,روانشناس بالینی|اسلامشهر|شهرک واوان|5|174|حضوری
37536|mahboubeh-shabanzadeh|محبوبه شبانزاده|روانشناس|روان درمانگر|کاشان|خیابان شهید بهشتی|4.7|66|حضوری,تلفنی,آنلاین
