49318|bahareh-nekooei|بهاره نکوئی|روانشناس|مشاور خانواده|اصفهان|خیابان توحید جنوبی|4.9|92|حضوری,تلفنی,آنلاین
95227|atefeh-naderi|عاطفه نادری|روانشناس|مشاور ازدواج|اصفهان|خیابان مرداویج|4.9|55|حضوری,آنلاین
44201|zahra-amanzad|زهرا امان زاد|روانشناس|روانشناس کودک|رشت|چهارراه گلسار|4.9|50|حضوری,تلفنی,آنلاین
57550|safa-sarmad|صفا سرمد|روانشناس|زوج درمانگر|رشت|پارک شهر (محتشم)|5|75|حضوری
71302|sajjad-salehi|سجاد صالحی|روانشناس|مشاور فردی,روانشناس بالینی|تهران|دارآباد|5|43|حضوری,آنلاین
80895|saba-mosavinezhad|صبا موسوی نژاد|روانشناس|مشاور فردی|اصفهان|خیابان نیکبخت|4.9|102|حضوری,آنلاین
61882|amirhosein-abbasi|امیرحسین عباسی|روانشناس|روان درمانگر|اراک|خیابان عباس آباد|4.9|83|حضوری,تلفنی,آنلاین
62954|bentolhoda-khodadadi|بنت الهدی خدادادی|روانشناس|روانکاو|قم|میدان مفید|5|12|حضوری,آنلاین
56004|sadaf-kabiri|صدف کبیری|روانشناس|زوج درمانگر|اصفهان|خیابان نیکبخت|4.9|144|حضوری,آنلاین
80469|nasrin-ataei|دکتر نسرین عطایی کچویی|روانپزشک|متخصص اعصاب و روان|تهران|خیابان شریعتی|5|5|حضوری
69649|zohreh-hoseini1|دکتر زهره حسینی|روانپزشک|متخصص اعصاب و روان|تهران||5|2|
80303|mozhgan-mostofian|دکتر مژگان مستوفیان|روانپزشک|متخصص اعصاب و روان|تهران||5|9|
48300|leila-dashtaki|دکتر لیلا دشتکی|روانپزشک|متخصص اعصاب و روان|تهران||4.5|10|
90144|reza-keikhosravi|دکتر رضا کیخسروی|روانپزشک|متخصص اعصاب و روان|اردبیل||5|7|
