75493|sholeh-darvish-ghane|شعله درویش قانع|روانشناس|مشاور ازدواج,زوج درمانگر|تهران|بلوار فردوس شرق|4.8|43|حضوری,تلفنی,آنلاین
91806|masood-nooralizadeh-mianji|دکتر مسعود نورعلیزاده میانجی|روانشناس|مشاور ازدواج,سکس تراپیست,مشاور خانواده,مشاوره توسعه‌فردی|تهران|بهارستان|4.9|8|حضوری,تلفنی,آنلاین
84445|maryam-bahramzadeh|مریم بهرام زاده|روانشناس|روانشناس کودک|اندیشه|فاز ۳|4.8|14|حضوری
55644|marziyeh-giti|مرضیه گیتی|روانشناس|مشاور فردی|کاشان|میدان معلم|4.6|11|حضوری,تلفنی,آنلاین
68255|zahra-poorhasan-khomami|زهرا پورحسن خمامی|روانشناس|روان درمانگر,روانشناس بالینی|رشت|پل بوسار|5|60|حضوری,تلفنی,آنلاین
76374|ameneh-moradi-shakib|آمنه مرادی شکیب|روانشناس|روانشناس بالینی|تهران|پاسداران|5|23|حضوری,آنلاین
87201|maryam-beheshti|دکتر مریم بهشتی|روانشناس|روان درمانگر|نسیم شهر|بین خیابان دوم و سوم|4.8|19|حضوری,تلفنی,آنلاین
57291|sahar-mohammadi7|سحر محمدی|روانشناس|مشاور فردی|فردیس|فلکه پنجم|5|107|حضوری,آنلاین
60647|afsaneh-karimi|افسانه کریمی|روانشناس|مشاور فردی,مشاور ازدواج|تبریز|چهارراه عباسی|5|15|حضوری,تلفنی,آنلاین
12225|maryam-malekan|دکتر مریم ملکان|روانشناس|زوج درمانگر,مشاور خانواده,مشاور فردی,مشاوره نوجوان|تهران|بلوار نلسون ماندلا|4.9|16|حضوری,تلفنی,آنلاین
81722|fatemeh-noroozi|فاطمه نوروزی|روانشناس|مشاور فردی|تهران|اقدسیه|5|35|حضوری,تلفنی,آنلاین
95371|niloofar-nikbakht|دکتر نیلوفر نیکبخت|روانشناس|روان درمانگر|غیرحضوری||5|3|تلفنی,آنلاین
53147|mohadeseh-etemadi|محدثه اعتمادی|روانشناس|روانشناس بالینی,مشاور فردی,روان درمانگر|قم|خیابان صدوقی|4.7|40|حضوری,تلفنی,آنلاین
44957|zeinab-afrasiab|زینب افراسیاب|روانشناس|مشاوره نوجوان|شاهین شهر|نظامی|5|26|حضوری,تلفنی,آنلاین
90351|naghmeh-alidadi|نغمه علیدادی|روانشناس|مشاور خانواده|اصفهان|ملک شهر|5|11|حضوری,آنلاین
45218|vahid-moradi-1|وحید مرادی|روانشناس|مشاوره نوجوان,روانشناس کودک,مشاور تحصیلی|کرج|بلوار هفت تیر|4.9|79|حضوری,تلفنی,آنلاین
17540|faezeh-fakoor|دکتر فائزه فکور|روانشناس|مشاوره نوجوان,روانشناس کودک|مشهد|نبش الهیه ۳۷|4.8|107|حضوری,آنلاین
18958|mahboobeh-yakhchali|محبوبه یخچالی|روانشناس|روانشناس کودک|تهران|پیروزی|4.9|51|حضوری
89819|hasan-tavakkoli|دکتر حسن توکلی|روانشناس|هیپنوتراپیست|اصفهان|ابتدای خیابان سعادت آباد|4.9|38|حضوری
10604|raziyeh-rezaei|راضیه رضایی|روانشناس|مشاور فردی,زوج درمانگر|تهران|خیابان اندرزگو|4.9|56|حضوری,تلفنی,آنلاین
80162|hashem-khodayari|هاشم خدایاری|روانشناس|روان درمانگر,زوج درمانگر,هیپنوتراپیست,مشاور خانواده|اردبیل|پشت بیمارستان امام|5|30|حضوری,تلفنی,آنلاین
84463|farida-farid|فریدا فرید|روانشناس|روانکاو|غیرحضوری||5|19|تلفنی,آنلاین
48052|maryam-panahi|مریم پناهی|روانشناس|مشاور ازدواج|اردبیل|پشت بیمارستان امام خمینی|5|31|حضوری,تلفنی,آنلاین
