32844|elaheh-najafi|دکتر الهه نجفی|روانشناس|روان درمانگر,هیپنوتراپیست|اراک|خیابان دکتر حسابی|4.7|40|حضوری,تلفنی
95270|afsaneh-ranjbar|افسانه رنجبر|روانشناس|زوج درمانگر,مشاور خانواده,روانکاو,روان درمانگر|تهران|ساعی|5|14|حضوری,آنلاین
81604|mohadeseh-jafaryari|محدثه جعفریاری|روانشناس|مشاور فردی|مشهد|وکیل آباد ۱۹|5|16|حضوری,تلفنی,آنلاین
87970|fatemeh-nasiri-abdi|فاطمه نصیری عبدی|روانشناس|مشاور خانواده|غیرحضوری||5|66|تلفنی,آنلاین
87135|fatemeh-tahmasebi|فاطمه طهماسبی|روانشناس|مشاور فردی,مشاور ازدواج|تهران|میدان هفت تیر|4.9|62|حضوری,تلفنی,آنلاین
56641|vahideh-zolfy|دکتر وحیده زلفی|روانشناس|مشاور خانواده|ارومیه|خیابان حسنی|4.9|85|حضوری,تلفنی,آنلاین
81772|neda-nikoonezhad|دکتر ندا نیکونژاد|روانشناس|زوج درمانگر|ساری|خیابان فرهنگ|4.9|49|حضوری,تلفنی,آنلاین
90099|maryam-salamat|مریم سلامت|روانشناس|مشاور ازدواج,مشاور خانواده|تهران|دهکده المپیک|4.9|67|حضوری,آنلاین
95238|sanaz-ghasemi|ساناز قاسمی|روانشناس|روانشناس بالینی,مشاوره توسعه‌فردی,مشاوره نوجوان|زاهدان|تقاطع توحید و فلسطین|5|14|حضوری,تلفنی,آنلاین
91464|mona-dadras|مونا دادرس|روانشناس|روانشناس کودک|تهران|خیابان پاسداران|5|1|حضوری,آنلاین
94137|parvaneh-bashiri|پروانه بشیری|روانشناس|روانشناس کودک,مشاوره نوجوان|کرج|خیابان هفت تیر|5|30|حضوری,تلفنی
90025|reyhaneh-sattari-najafabadi|ریحانه ستاری نجف آبادی|روانشناس|روان درمانگر|اصفهان|خیابان هشت بهشت غربی|5|65|حضوری,تلفنی,آنلاین
41791|fereshteh-karamooz-mashhadi|فرشته کارآموز مشهدی|روانشناس|زوج درمانگر,مشاور فردی|رشت|گلسار|5|42|حضوری,تلفنی
52458|vahid-nadi-yazdi|وحید نادی یزدی|روانشناس|مشاور ازدواج|مشهد|چهارراه آزادشهر|4.6|30|حضوری,آنلاین
91462|solmaz-lotfi-azar|سولماز لطفی آذر|روانشناس|روانشناس کودک,روان درمانگر,مشاور خانواده|اردبیل|میدان یحیوی|5|5|حضوری,تلفنی,آنلاین
72999|sogand-sobhani|سوگند سبحانی|روانشناس|مشاور فردی,زوج درمانگر,روانشناس بالینی|اراک|خیابان عباس آباد|5|17|حضوری,تلفنی,آنلاین
56672|shadi-sarlak|شادی سرلک|روانشناس|مشاور ازدواج,زوج درمانگر|تهران|خیابان پیروزی|4.8|125|حضوری,آنلاین
45415|dorsa-aslaninejad|درسا اصلانی نژاد|روانشناس|مشاوره نوجوان,روان درمانگر|رشت|قلی پور|4.9|44|حضوری,تلفنی,آنلاین
81548|mina-yari|مینا یاری|روانشناس|مشاور ازدواج,زوج درمانگر,مشاور فردی|ساوه|خیابان استاد مطهری|4.9|26|حضوری,تلفنی,آنلاین
80760|sina-abbidi|سینا آب بیدی|روانشناس|مشاور فردی,روانشناس بالینی|اهواز|خیابان اصلی کیان آباد|5|40|حضوری,آنلاین
52423|fahimeh-ghaffari-moghaddam|دکتر فهیمه غفاری مقدم|روانشناس|روانشناس کودک,مشاوره نوجوان|کرج|بلوار طالقانی شمالی|5|32|حضوری,آنلاین
81564|mehrafarin-attar-haddad|دکتر مهرآفرین عطار حداد|روانشناس|مشاور فردی|اصفهان|ابتدای کوی امام جعفر صادق|4.9|13|حضوری,آنلاین
62245|arezoo-omidvarkhoda|آرزو امیدوارخدا|روانشناس|زوج درمانگر|تهران|جردن|4.8|101|حضوری,تلفنی,آنلاین
