81516|mahboubeh-hallajisani|دکتر محبوبه حلاجی ثانی|روانشناس|زوج درمانگر|تنکابن|خیابان فرهنگ|4.9|59|حضوری,آنلاین
47678|reza-gorji1|دکتر رضا گرجی|روانشناس|مشاور فردی|تهران|جردن|5|107|حضوری,تلفنی,آنلاین
86374|fatemeh-torkashvand1|دکتر فاطمه (مژگان) ترکاشوند|روانشناس|زوج درمانگر,مشاور خانواده|ملایر|ضلع شمالی پارک شهر|5|39|حضوری,آنلاین
95429|behzad-fakoor|بهزاد فکور|روانشناس|روان درمانگر|تهران|بلوار فردوس شرق|5|1|حضوری,آنلاین
14253|mansooreh-nikoogoftar|دکتر منصوره نیکوگفتار|روانشناس|زوج درمانگر|تهران|جنب حسینیه ارشاد|4.9|96|حضوری,تلفنی,آنلاین
57321|khadijehsadat-bagherzadeh|دکتر خدیجه سادات باقرزاده|روانشناس|مشاور ازدواج,مشاور خانواده|تهران|جردن|4.9|55|حضوری,آنلاین
93829|mahin-keykanloo|مهین کیکانلو|روانشناس|مشاور فردی,مشاور ازدواج|پاکدشت|میدان معلم|4.9|17|حضوری,آنلاین
50559|daryoosh-jalali|دکتر داریوش جلالی|روانشناس|زوج درمانگر,مشاور فردی|شهرکرد|خیابان سعدی غربی|4.9|135|حضوری,آنلاین
17266|davood-hezarei|دکتر داود هزاره ای|روانشناس|مشاور تحصیلی,مشاور خانواده|تهران|سعادت آباد|4.8|76|حضوری,تلفنی,آنلاین
58283|marjan-rabeei|دکتر مرجان رابعی|روانشناس|زوج درمانگر|تهران|بلوار نلسون ماندلا|4.8|19|حضوری,آنلاین
81779|jamileh-ghenaati-kashani|جمیله قناعتی کاشانی|روانشناس|مشاور ازدواج,زوج درمانگر,مشاور خانواده,مشاور فردی|شهریار|خیابان ولیعصر|5|72|حضوری,تلفنی
80069|fatemeh-rahimi2|فاطمه رحیمی|روانشناس|مشاور فردی,روان درمانگر|ساری|بلوار خزر|5|95|حضوری,آنلاین
59314|mohamadreza-khodadadi|محمدرضا خدادادی|روانشناس|مشاور تحصیلی,مشاوره نوجوان|اصفهان|خیابان آمادگاه|4.9|35|حضوری,تلفنی,آنلاین
90602|neda-darabi|دکتر ندا دارابی|روانشناس|مشاور ازدواج,زوج درمانگر|تهران|سعادت آباد|4.8|20|حضوری,آنلاین
61468|elaheh-oliyazadeh|الهه اولیازاده|روانشناس|زوج درمانگر,مشاوره توسعه‌فردی|غیرحضوری||5|7|آنلاین
17546|rezaali-baghban|دکتر رضا باغبان|روانشناس|مشاور فردی,زوج درمانگر|تبریز|بلوار ۲۹ بهمن|5|30|حضوری,آنلاین
61695|peyman-khansarinejad|پیمان خوانساری نژاد|روانشناس|مشاور فردی,سکس تراپیست|اراک|خیابان خرم|4.7|140|حضوری
50462|sareh-izakian|دکتر سارا ایزکیان|روانشناس|مشاوره نوجوان,روانشناس کودک|ساری|خیابان پانزده خرداد|4.9|58|حضوری,تلفنی
81820|seyyedehsara-mahdiani|سیده سارا مهدیانی|روانشناس|روانشناس بالینی|تهران|پاسداران|5|21|حضوری,آنلاین
71232|saba-akbarzadeh|سبا اکبرزاده|روانشناس|مشاور فردی,روانشناس کودک|مشهد|بلوار سازمان آب|5|8|حضوری
77822|atefeh-saremi-tehrani|عاطفه صارمی تهرانی|روانشناس|مشاور ازدواج,مشاوره نوجوان|تهران|میدان شهدا|4.9|128|حضوری,تلفنی,آنلاین
