54613|zeinab-shahbazi|زینب شهبازی|روانشناس|مشاور تحصیلی|رشت|مطهری|5|240|حضوری,تلفنی,آنلاین
90736|mohammadmehdi-vafaei|محمد مهدی وفائی|روانشناس|زوج درمانگر|شیراز|حدفاصل خلدبرین و فلکه سنگی|4.9|50|حضوری,تلفنی,آنلاین
53156|samaneh-lajevardi|سمانه لاجوردی|روانشناس|مشاور ازدواج,مشاور خانواده|قم|خیابان ۵۵ متری عمار یاسر|4.6|42|حضوری,تلفنی,آنلاین
65348|sepideh-rahmani|سپیده رحمانی|روانشناس|مشاور خانواده|قزوین|خیابان فردوسی جنوبی|5|56|حضوری,تلفنی,آنلاین
90603|mina-azarian|مینا آذریان|روانشناس|زوج درمانگر|اردبیل|پشت بیمارستان امام خمینی|5|42|حضوری,تلفنی,آنلاین
83052|farideh-khaleghi|فریده خالقی|روانشناس|مشاور فردی|تهران|جردن|5|85|حضوری,تلفنی,آنلاین
72317|leila-chavoshi|لیلا چاوشی|روانشناس|مشاور ازدواج,روان درمانگر,مشاور فردی,زوج درمانگر|زنجان|بزرگراه ۲۲ بهمن|4.9|52|حضوری,آنلاین
90672|milad-askari|میلاد عسکری|روانشناس|مشاور فردی|تهران|شهرک غرب|5|31|حضوری,تلفنی,آنلاین
58268|masoumeh-nematolahi-sabet|معصومه (شیوا) نعمت اللهی|روانشناس|روانشناس کودک|رشت|چهارراه گلسار|5|29|حضوری,تلفنی,آنلاین
66327|raziyeh-toobaeizadeh|راضیه طوبائی زاده|روانشناس|روانشناس کودک|اهواز|کیانپارس|5|14|حضوری,آنلاین
56701|iman-paknejad|ایمان پاک نژاد|روانشناس|زوج درمانگر,مشاور ازدواج,مشاور فردی,مشاور خانواده|اراک|خیابان عباس آباد|4.9|27|حضوری,آنلاین
60151|esmaeil-firoozi|دکتر اسماعیل فیروزی|روانشناس|زوج درمانگر,مشاور فردی|تهران|انتهای خیابان پیروزی|5|20|حضوری,آنلاین
85333|roya-sadrmohammadi|رویا صدرمحمدی|روانشناس|مشاور ازدواج,مشاوره نوجوان,روانشناس کودک,مشاور فردی|زنجان|اتوبان ۲۲ بهمن|4.6|45|حضوری,تلفنی,آنلاین
51491|ali-hamidi2|علی حمیدی|روانشناس|مشاوره توسعه‌فردی,مشاوره نوجوان|مشهد|هاشمیه ۳۹|5|100|حضوری,تلفنی,آنلاین
20189|saeed-ardestani|سعید اردستانی|روانشناس|مشاور ازدواج,مشاور فردی|ورامین|بلوار باهنر|5|61|حضوری,آنلاین
95430|mina-kafaei|دکتر مینا کفایی کیوی|روانشناس|روان درمانگر|تهران|خیابان پاسداران شمالی|5|1|حضوری,آنلاین
59277|mina-rikhtegar|مینا ریخته گر|روانشناس|مشاور خانواده,مشاور فردی|بابل|چهارراه گنجینه|5|172|حضوری,تلفنی,آنلاین
26906|elham-khorramzadeh|الهام خرم زاده|روانشناس|مشاور ازدواج,زوج درمانگر,مشاور فردی|اهواز|کیانپارس|4.8|28|حضوری,تلفنی,آنلاین
55404|mohammad-ghasemi5|محمد قاسمی دیزج|روانشناس|زوج درمانگر,روان درمانگر|تهران|امیرآباد|4.9|127|حضوری,تلفنی,آنلاین
76730|sedigheh-bandani|صدیقه بندانی|روانشناس|مشاور فردی,زوج درمانگر,مشاور ازدواج|بیرجند|خیابان توحید|4.9|106|حضوری,تلفنی,آنلاین
