11266|amirhosein-sharifi|دکتر امیرحسین شریفی|روانشناس|زوج درمانگر,روان درمانگر,مشاور ازدواج,مشاور تحصیلی|تهران|سعادت آباد|4.9|73|حضوری,تلفنی,آنلاین
35451|soheila-javidnia|دکتر سهیلا جاویدنیا|روانشناس|روانشناس بالینی,سکس تراپیست,زوج درمانگر,مشاور ازدواج|تهران|جردن|4.8|86|حضوری,تلفنی,آنلاین
46693|mina-mahmooditabar|مینا محمودی تبار|روانشناس|زوج درمانگر|اهواز|کیانپارس|4.8|101|حضوری,آنلاین
66172|raheleh-bagherifard|راحله باقری فرد|روانشناس|زوج درمانگر|تهران|پاسداران|5|223|حضوری,تلفنی,آنلاین
51334|neda-besharatmehr|دکتر ندا بشارت مهر|روانشناس|مشاور فردی|تهران|سعادت آباد|4.9|33|حضوری,آنلاین
71662|melika-kamaleddini|ملیکا کمال الدینی|روانشناس|مشاور ازدواج,زوج درمانگر,مشاور فردی|تهران|سعادت آباد|5|26|حضوری,تلفنی
91463|sara-gholami|دکتر سارا غلامی|روانشناس|زوج درمانگر,مشاور خانواده|تهران|فلکه دوم صادقیه|5|38|حضوری,تلفنی,آنلاین
94236|mariyeh-najafizadeh|ماریه نجفی زاده|روانشناس|روانشناس بالینی|تهران|پاسداران|5|27|حضوری,آنلاین
50840|mansooreh-behzadinezhad|دکتر منصوره بهزادی نژاد|روانشناس|روانشناس بالینی|تهران|پاسداران|5|443|حضوری,آنلاین
75663|shahram-noori-samarin|دکتر شهرام نوری ثمرین|روانشناس|زوج درمانگر,مشاوره نوجوان|دزفول|خیابان عدل|5|15|حضوری,تلفنی,آنلاین
77876|atefeh-mahmood-noroozi|عاطفه نوروزی|روانشناس|زوج درمانگر,مشاور فردی,روان درمانگر|تهران|هروی|4.9|68|حضوری,آنلاین
95456|maryam-forootan-heidari|مریم فروتن حیدری|روانشناس|مشاوره نوجوان,مشاور خانواده|غیرحضوری||5|4|تلفنی,آنلاین
95848|fereshteh-roshani|فرشته روشنی|روانشناس|روان درمانگر|تهران|سعادت آباد|5|7|آنلاین
90504|fatemeh-alijani-lashkariani|فاطمه علیجانی لشکریانی|روانشناس|مشاور فردی,زوج درمانگر|تهران|خیابان پیروزی|4.7|46|حضوری,تلفنی,آنلاین
40103|mehdi-arabzadeh1|دکتر مهدی عرب زاده|روانپزشک|متخصص اعصاب و روان|اسلامشهر|باغ فیض|4.7|51|حضوری,تلفنی,آنلاین
84105|leila-nikooei|لیلا نیکویی|روانشناس|زوج درمانگر,مشاور خانواده,مشاوره نوجوان,مشاور ازدواج|اسلامشهر|زرافشان|5|22|حضوری,تلفنی,آنلاین
86478|yasaman-fooladi|یاسمن فولادی وندا|روانشناس|مشاور فردی|تهران|پاسداران|4.9|52|حضوری,آنلاین
80658|minoo-masoodi|مینو مسعودی|روانشناس|روانشناس بالینی,زوج درمانگر,مشاور فردی,مشاور ازدواج|تهران|سعادت آباد|5|32|حضوری,تلفنی,آنلاین
19518|farzaneh-farzadian|فرزانه فرزادیان|روانشناس|مشاور فردی,مشاور ازدواج|تهران|شهرک غرب|5|34|حضوری,تلفنی,آنلاین
64548|hanieh-heidari|حانیه حیدری|روانشناس|روانشناس بالینی|مشهد|بلوار امامت|5|20|حضوری,آنلاین
91272|maryam-mehri-boroojeni|دکتر مریم مهری بروجنی|روانشناس|زوج درمانگر,مشاور فردی|اصفهان|میدان آزادی|5|16|حضوری,تلفنی,آنلاین
81163|maliheh-rahimi1|ملیحه رحیمی|روانشناس|روانشناس کودک|تهران|میدان توحید|4.9|81|حضوری,تلفنی,آنلاین
